Name,786O_shARNT_1 - linear total reads,786O_shARNT_2 - linear total reads,786O_shARNT_3 - linear total reads,786O_shBMAL1_1 - linear total reads,786O_shBMAL1_2 - linear total reads,786O_shBMAL1_3 - linear total reads,786O_shBMAL2_1 - linear total reads,786O_shBMAL2_2 - linear total reads,786O_shBMAL2_3 - linear total reads,786O_shCNT_1 - linear total reads,786O_shCNT_2 - linear total reads,786O_shCNT_3 - linear total reads
NUDT2,222.3258905,199.1747252,177.6369177,281.5588959,244.097403,317.5406332,250.8564624,321.7571055,359.3200213,232.2693251,197.1390973,202.1670022
KIAA1161,226.2783508,222.0798186,192.7764277,369.3568312,342.1448954,278.7190511,209.5507798,197.2951879,144.4785464,236.3264312,245.6656443,233.8194116
C9orf24,4.940575345,7.966989007,2.018601337,2.01834334,1.021328046,1.990850365,4.029822689,13.82910196,6.567206656,2.028553057,0,3.063136396
FAM219A,345.8402742,317.6836867,286.6413899,263.3938059,268.6092761,253.8334215,845.2553091,747.6934457,748.6615588,431.0675247,434.7169838,454.3652321
DNAI1,0.988115069,5.975241755,14.13020936,11.10088837,6.127968276,5.972551095,0,0,1.876344759,3.042829586,3.032909189,4.084181862
ENHO,0.988115069,1.991747252,5.046503343,2.01834334,3.063984138,4.977125913,1.007455672,1.843880261,0,2.028553057,1.01096973,2.042090931
CNTFR,0,1.991747252,0,0,0,0,0,0,0,0,0,4.084181862
RPP25L,175.8844823,169.2985164,182.683421,225.0452824,212.4362336,208.0438631,208.5433242,171.4808643,183.8817864,202.8553057,208.2597643,137.8411378
DCTN3,2301.319996,2004.693609,1973.182807,2055.682692,1856.774388,1712.131314,1809.390387,1965.576358,1761.887729,1978.853508,2124.047402,1815.418838
ARID3C,3.952460276,3.983494504,5.046503343,18.16509006,20.42656092,12.94052737,0,5.531640782,5.629034277,8.11421223,4.043878919,5.105227327
SIGMAR1,3652.073295,4036.275806,3772.765899,3646.137244,3646.141124,3594.480334,5866.41438,4752.601372,4683.356518,3953.649909,4311.785898,4263.885864
GALT,428.84194,346.5640218,415.8318755,455.1364232,364.6141124,311.5680821,474.5116217,398.2781363,430.6211222,474.6814154,398.3220735,465.5967322
IL11RA,68.17993977,38.83907141,32.2976214,51.46775517,73.53561932,62.7117865,79.58899811,62.69192887,66.61023894,78.09929271,70.76788109,55.13645513
CCL27,1.976230138,2.987620878,1.009300669,4.03668668,1.021328046,0,2.014911345,1.843880261,0.938172379,0,0,1.021045465
LOC730098,44.46517811,27.88446152,23.21391538,40.3668668,41.87444989,36.83073175,34.25349286,37.79954535,26.26882662,30.42829586,31.34006162,35.73659129
LOC107987062,72.13240004,76.68226919,68.63244546,82.75207694,99.06882047,101.5333686,63.46970735,63.613869,50.66130849,78.09929271,74.81176,96.99931922
LOC107987063,5.928690415,9.958736259,15.13951003,7.06420169,10.21328046,10.94967701,23.17148046,10.14134143,9.381723794,9.128488759,17.18648541,13.27359105
FAM205A,0,0,0,2.01834334,0,0,0,0,0,0,1.01096973,0
PHF24,0,0,0,0,1.021328046,0,0,0,0,0,0,0
DNAJB5-AS1,0,0,0,0,0,0,0,0,0,0,0,1.021045465
DNAJB5,257.898033,235.0261757,208.9252384,309.8157027,242.0547469,257.8151223,268.9906645,303.3183029,251.4301977,312.3971709,237.5778865,304.2715487
LOC105376025,0,0,0,6.05503002,3.063984138,1.990850365,0,0.92194013,0.938172379,0,0,0
